Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
Austria,2016,162961,163091,326052,Austria,Austria,45061.4993920192,8736668.0,0.018667414167506422,0.018652534352913492
Austria,2017,163860,164026,327886,Austria,Austria,47163.7425775142,8797566.0,0.018644475074128457,0.018625606218810976
Austria,2018,171616,171715,343331,Austria,Austria,51194.0749841299,8840521.0,0.019423628992001715,0.019412430556977354
Austria,2019,182783,182978,365761,Austria,Austria,49885.9947355204,8879920.0,0.020605816268615032,0.02058385661132082
Austria,2020,75658,75768,151426,Austria,Austria,48716.4098900349,8916864.0,0.00849715774514448,0.008484821569556293
Austria,2021,86225,86480,172705,Austria,Austria,53648.6437976214,8955797.0,0.009656315345245097,0.009627842167481018
Austria,2022,136573,136893,273466,Austria,Austria,52336.7725223758,9041851.0,0.015139930972098523,0.015104539988548805
Austria,2023,152317,152619,304936,Austria,Austria,56579.504175468,9131761.0,0.01671298668460552,0.016679915297827003
Austria,2024,158218,158505,316723,Austria,Austria,58268.8787651601,9177982.0,0.017270136289219133,0.017238865798603658
Belgium,2016,161546,161582,323128,Belgium,Belgium,41854.5498296444,11331422.0,0.014259640140487221,0.014256463134106204
Belgium,2017,168371,168357,336728,Belgium,Belgium,44035.3239358548,11375158.0,0.01480040980529677,0.014801640557432258
Belgium,2018,169861,169899,339760,Belgium,Belgium,47487.2100392561,11427054.0,0.0148681366168393,0.014864811175303801
Belgium,2019,169596,169598,339194,Belgium,Belgium,46716.6227467964,11488980.0,0.01476179782713522,0.014761623747277826
Belgium,2020,83090,83126,166216,Belgium,Belgium,45906.2875805246,11538604.0,0.007204164385917048,0.007201044424438173
Belgium,2021,104674,104706,209380,Belgium,Belgium,51658.238294958,11586195.0,0.009037134279200375,0.009034372371602584
Belgium,2022,142954,142920,285874,Belgium,Belgium,50605.7496677086,11680210.0,0.01223608137182465,0.012238992278392254
Belgium,2023,148544,148618,297162,Belgium,Belgium,55291.4754541329,11779946.0,0.012616186865372728,0.012609905002960116
Belgium,2024,155238,155315,310553,Belgium,Belgium,56614.5679499036,11858610.0,0.01309723483612329,0.01309074166365198
Bulgaria,2016,25307,25294,50601,Bulgaria,Bulgaria,7822.49923292968,6894139.0,0.003668913551061271,0.0036707992107498848
Bulgaria,2017,28382,28392,56774,Bulgaria,Bulgaria,8696.68930427924,6803468.0,0.004173165803087484,0.0041716959644698855
Bulgaria,2018,29809,29771,59580,Bulgaria,Bulgaria,9849.38397225174,6710798.0,0.004436283136521171,0.004441945652365039
